name,mention2022,mention2023
JavaScript,65.36,63.61
HTML/CSS,55.08,52.97
SQL,49.43,48.66
Python,48.07,49.28
TypeScript,34.83,38.87
Java,33.27,30.55
C#,27.98,27.62
C++,22.55,22.42
PHP,20.87,18.58
C,19.27,19.34
PowerShell,12.07,13.59
Go,11.15,13.24
Rust,9.32,13.05
Kotlin,9.16,9.06
Dart,6.54,6.02
Ruby,6.05,6.23
Assembly,5.47,5.43
Swift,4.91,4.65
R,4.66,4.23
VBA,4.48,3.55
MATLAB,4.1,3.81
Lua,4.03,6.09
Groovy,3.32,3.4
Delphi,3.25,3.23
Scala,2.59,2.77
Objective-C,2.39,2.31
Perl,2.31,2.46
Haskell,2.22,2.09
Elixir,2.15,2.32
Julia,1.53,1.15
Clojure,1.51,1.26
Solidity,1.45,1.33
F#,1.03,0.97
Fortran,0.91,0.95
Erlang,0.9,0.99
APL,0.71,0.26
SAS,0.61,0.49
OCaml,0.59,0.7
Crystal,0.48,0.44
