word,occurrences
JavaScript,65.36
HTML/CSS,55.08
SQL,49.43
Python,48.07
TypeScript,34.83
Java,33.27
Bash/Shell,29.07
C#,27.98
C++,22.55
PHP,20.87
C,19.27
PowerShell,12.07
Go,11.15
Rust,9.32
Kotlin,9.16
Dart,6.54
Ruby,6.05
Assembly,5.47
Swift,4.91
R,4.66
VBA,4.48
MATLAB,4.10
Lua,4.03
Groovy,3.32
Delphi,3.25
Scala,2.59
Objective-C,2.39
Perl,2.31
Haskell,2.22
Elixir,2.15
Julia,1.53
Clojure,1.51
Solidity,1.45
LISP,1.31
F#,1.03
Fortran,0.91
Erlang,0.90
APL,0.71
COBOL,0.65
SAS,0.61
OCaml,0.59
Crystal,0.48
